Issue Type, Summary                                             , Description                                                                                                                                      , Status , Priority, Sprint
Epic      , "Desarrollo del MVP - Plataforma Contenidos Telmark", "Lanzamiento de la versión 1.0 funcional: Dashboard dinámico, navegación por áreas (Adeslas, Energía, Alarma) y Admin Panel para gestión básica.", "To Do", "High"  , "Sprint 1"
Story     , "[Módulo] Setup de Entorno y Base de Datos"         , "Como desarrollador, quiero tener el entorno de Next.js y Supabase configurado para empezar el desarrollo."                                      , "To Do", "High"  , "Sprint 1"
Task      , "Inicializar proyecto Next.js"                      , "Ejecutar npx create-next-app con TypeScript y App Router."                                                                                      , "To Do", "High"  , "Sprint 1"
Task      , "Configurar Supabase y Variables de Env"            , "Crear proyecto en Supabase y configurar .env.local."                                                                                            , "To Do", "High"  , "Sprint 1"
Task      , "Definir Esquema de Base de Datos"                  , "Crear tablas de Áreas, Categorías y Contenidos en Postgres."                                                                                    , "To Do", "High"  , "Sprint 1"
Story     , "[Módulo] UI Core e Interfaz del Dashboard"         , "Como usuario, quiero ver las 3 áreas principales para acceder a su información."                                                                , "To Do", "High"  , "Sprint 1"
Task      , "Configurar Sistema de Diseño y CSS Global"         , "Establecer colores premium, fuentes y estilos base."                                                                                            , "To Do", "Medium", "Sprint 1"
Task      , "Implementar Dashboard de Tarjetas"                 , "Crear la pantalla principal con las 3 tarjetas interactivas."                                                                                   , "To Do", "High"  , "Sprint 1"
Task      , "Configurar Rutas Dinámicas"                        , "Implementar navegación basada en áreas y categorías."                                                                                           , "To Do", "High"  , "Sprint 1"
Story     , "[Módulo] Navegación y Visualización de Contenidos" , "Como usuario, quiero navegar por las categorías y ver el contenido detallado."                                                                  , "To Do", "Medium", "Sprint 1"
Task      , "Vista de Categorías y Subcategorías"               , "Desarrollar la interfaz jerárquica de navegación."                                                                                              , "To Do", "Medium", "Sprint 1"
Task      , "Vista de Detalles de Contenido"                    , "Mostrar textos, enlaces y permitir descarga de archivos."                                                                                       , "To Do", "Medium", "Sprint 1"
Story     , "[Módulo] Panel de Administración"                  , "Como administrador, quiero gestionar las categorías y contenidos."                                                                              , "To Do", "High"  , "Sprint 1"
Task      , "Desarrollar Layout del Panel de Admin"             , "Crear sidebar y estructura del panel protegido."                                                                                                , "To Do", "Medium", "Sprint 1"
Task      , "CRUD de Categorías y Subcategorías"                , "Implementar creación, edición y borrado de la estructura."                                                                                      , "To Do", "High"  , "Sprint 1"
Task      , "Gestión de Archivos y Enlaces"                     , "Implementar subida y edición de recursos."                                                                                                      , "To Do", "High"  , "Sprint 1"
Story     , "[Repositorio] Control de Versiones"                , "Como equipo, queremos tener el código sincronizado en GitHub."                                                                                  , "To Do", "Low"   , "Sprint 1"
Task      , "Sincronización Inicial con GitHub"                 , "Configurar repositorio remoto y realizar commit base."                                                                                          , "To Do", "Low"   , "Sprint 1"
