Issue Type, Summary                                                    , Description                                                                     , Status       , Priority, Sprint
Epic      , "EPIC 1: Cimientos y Setup Fullstack"                      , "Iniciación técnica del proyecto, estándares y arquitectura base."              , "In Progress", "High"  , "Sprint 1"
Story     , "[Setup] Estructura de Proyecto con Next.js 15+"           , "Como equipo, quiero una base de código moderna con Turbopack y TypeScript."    , "Done"       , "High"  , "Sprint 1"
Task      , "Scaffolding de App Router con TypeScript"                 , "npx create-next-app@latest con src/ y /sin Tailwind ad-hoc./"                  , "Done"       , "High"  , "Sprint 1"
Task      , "Configurar ESLint y Prettier Pro-level"                   , "Implementar reglas estrictas de tipado y orden de imports."                    , "Done"       , "Medium", "Sprint 1"
Task      , "Limpiar Plantilla Next.js por Defecto"                    , "Eliminar componentes demo y CSS global inicial."                               , "Done"       , "Low"   , "Sprint 1"
Story     , "[Design] Sistema de Diseño y Shadcn/UI"                   , "Como desarrollador, quiero componentes UI consistentes y premium."             , "Done"       , "Medium", "Sprint 1"
Task      , "Inicializar Shadcn/UI CLI"                                , "Configurar componentes base (Button, Card, Input, Label, Form)."               , "Done"       , "High"  , "Sprint 1"
Task      , "Configurar Tema 'Night Mode' Premium"                     , "Definir variables HSL para un tema oscuro elegante con acentos neon."          , "Done"       , "Low"   , "Sprint 1"
Task      , "Instalación de Familia Tipográfica (Inter/Outfit)"        , "Configurar fuentes de Google para un look moderno y legible."                  , "To Do"      , "Low"   , "Sprint 1"
Story     , "[Docs] Documentación de Arquitectura Persistente"         , "Como equipo, queremos guías que no caduquen y orienten a IAs."                 , "Done"       , "Medium", "Sprint 1"
Task      , "Organizar Directorio de Documentación /docs"              , "Mover manuales y guías de configuración iniciales."                            , "Done"       , "Low"   , "Sprint 1"
Task      , "Optimización de Contexto de Proyecto para IA"             , "Escribir el bloque de instrucciones persistentes en project_context.md."       , "Done"       , "Medium", "Sprint 1"
Epic      , "EPIC 2: Arquitectura de Persistencia y Capa de Datos"     , "Diseño y seguridad de la base de datos en Supabase."                           , "In Progress", "High"  , "Sprint 1"
Story     , "[BBDD] Implementación del Modelo Jerárquico"              , "Como sistema, necesito tablas relacionadas para las 3 áreas principales."      , "Done"       , "High"  , "Sprint 1"
Task      , "Esquema de Base de Datos (4 Niveles)"                     , "Crear tablas: sections, categories, subcategories, items."                     , "Done"       , "High"  , "Sprint 1"
Task      , "Configurar Claves Foráneas con Borrado en Cascada"        , "Asegurar integridad: si borras una sección, borras su contenido."              , "Done"       , "High"  , "Sprint 1"
Task      , "Implementar Columnas de Auditoría (created_at/updated_at)", "Timestamps automáticos para cada registro en Postgres."                        , "Done"       , "Medium", "Sprint 1"
Task      , "Configurar Restricciones de Unicidad (Unique Slugs)"      , "Asegurar que no existan dos URLs iguales en el mismo nivel."                   , "Done"       , "Medium", "Sprint 1"
Story     , "[Security] Protección de Datos con RLS"                   , "Como admin, quiero proteger la BBDD contra modificaciones no autorizadas."     , "To Do"      , "High"  , "Sprint 1"
Task      , "Activar RLS en todas las Tablas de Contenido"             , "Habilitar Row Level Security para control granular."                           , "To Do"      , "High"  , "Sprint 1"
Task      , "Política: Lectura Pública para Usuarios Anónimos"         , "Permitir SELECT sin autenticación en todo el árbol de jerarquía."              , "To Do"      , "High"  , "Sprint 1"
Task      , "Política: Escritura Protegida para Role 'authenticated'"  , "INSERT/UPDATE/DELETE solo vía Auth de Supabase."                               , "To Do"      , "High"  , "Sprint 1"
Epic      , "EPIC 3: Identidad y Control de Sesión"                    , "Autenticación de administradores y protección de rutas."                       , "To Do"      , "High"  , "Sprint 1"
Story     , "[Auth] Portal de Acceso Administrativo"                   , "Como usuario autorizado, quiero entrar al panel de gestión con mi email."      , "To Do"      , "High"  , "Sprint 1"
Task      , "Configurar Supabase Auth Provider (Email/OTP)"            , "Habilitar el servicio de login en la consola de Supabase."                     , "To Do"      , "High"  , "Sprint 1"
Task      , "Diseño: UI de Login con Animaciones Framer Motion"        , "Interfaz visualmente impactante con feedback de errores."                      , "To Do"      , "Medium", "Sprint 1"
Task      , "Implementar Formulario de Login con React Hook Form"      , "Manejo de estados de carga y validación de tipos."                             , "To Do"      , "Medium", "Sprint 1"
Story     , "[Security] Middleware de Protección de Rutas"             , "Como admin, quiero que /admin sea inaccesible sin una sesión válida."          , "To Do"      , "High"  , "Sprint 1"
Task      , "Crear middleware.ts de Next.js"                           , "Configurar redirecciones automáticas basadas en el token de Supabase."         , "To Do"      , "High"  , "Sprint 1"
Task      , "Implementar Handler de Logout Seguro"                     , "Garantizar la limpieza de cookies y sesión en cliente/servidor."               , "To Do"      , "Medium", "Sprint 1"
Epic      , "EPIC 4: Integración BE y Server Actions"                  , "Puente de comunicación entre UI y Base de Datos."                              , "To Do"      , "High"  , "Sprint 1"
Story     , "[Backend] Singleton de Cliente Supabase"                  , "Como desarrollador, quiero un cliente único para el servidor y el navegador."  , "To Do"      , "High"  , "Sprint 1"
Task      , "Implementar src/lib/supabase/server.ts"                   , "Configurar cliente SSR para acceso a cookies en Server Components."            , "To Do"      , "High"  , "Sprint 1"
Task      , "Implementar src/lib/supabase/client.ts"                   , "Configurar cliente ligero para componentes interactivos (Browser)."            , "To Do"      , "Medium", "Sprint 1"
Story     , "[Actions] Lógica de Negocio en el Servidor"               , "Como desarrollador, quiero mutar datos de forma segura sin APIs externas."     , "To Do"      , "High"  , "Sprint 2"
Task      , "Action: Fetcher de Jerarquía de Sección"                  , "Obtener todas las subcategorías y items de un slug dado."                      , "To Do"      , "High"  , "Sprint 2"
Task      , "Action: CRUD Completo de Items (Atomico)"                 , "Insertar/Editar items validando el tipo de contenido (Text/File/Link)."        , "To Do"      , "High"  , "Sprint 2"
Task      , "Action: Manejo de Atributos JSONB Ad-hoc"                 , "Lógica para parsear y guardar pares llave-valor dinámicos."                    , "To Do"      , "Medium", "Sprint 2"
Epic      , "EPIC 5: Frontend Público y Navegación (Public UI)"        , "Estructura de la aplicación para el usuario final."                            , "To Do"      , "High"  , "Sprint 1"
Story     , "[Home] Dashboard de Áreas (Adeslas, Energía, Alarma)"     , "Como usuario, quiero una entrada visual potente a las 3 divisiones."           , "To Do"      , "High"  , "Sprint 1"
Task      , "Componente AreaCard con Glassmorphism"                    , "Tarjeta premium con efectos de desenfoque y profundidad."                      , "To Do"      , "High"  , "Sprint 1"
Task      , "Maquetar Layout 'Dashboard' Grid"                         , "Grid responsiva que se adapta de móvil a 4K de forma fluida."                  , "To Do"      , "High"  , "Sprint 1"
Task      , "Animación de Entrada de Tarjetas (Staggered)"             , "Efecto de aparición secuencial de las áreas principales."                      , "To Do"      , "Low"   , "Sprint 1"
Story     , "[Nav] Navegador de Niveles Dinámico"                      , "Como usuario, quiero moverme por la jerarquía sin recargar la página completa.", "To Do"      , "High"  , "Sprint 2"
Task      , "Ruta Dinámica: /[section_slug]/[category_slug]"           , "Configurar parámetros dinámicos para el enrutamiento."                         , "To Do"      , "High"  , "Sprint 2"
Task      , "Componente: Sidebar Móvil de Categorías"                  , "Navegación lateral para pantallas pequeñas (Sheet)."                           , "To Do"      , "Medium", "Sprint 2"
Task      , "Sistema de Breadcrumbs Reactivo"                          , "Generar la ruta de navegación basada en el path actual de la URL."             , "To Do"      , "Low"   , "Sprint 2"
Task      , "Skeleton Screens para Carga de Datos"                     , "Placeholders de carga que replican la estructura de las tarjetas."             , "To Do"      , "Medium", "Sprint 2"
Story     , "[Content] Visor de Items (Detalle Final)"                 , "Como usuario, quiero leer texto o interactuar con archivos y links."           , "To Do"      , "High"  , "Sprint 2"
Task      , "Renderizador de Texto (Body) con Markdown Support"        , "Transformar texto plano en HTML formateado de forma segura."                   , "To Do"      , "Medium", "Sprint 2"
Task      , "Módulo de Archivos Descargables (PDF/Docs)"               , "Botones con detección de tipo de archivo e icono dinámico."                    , "To Do"      , "High"  , "Sprint 2"
Task      , "Controlador de Enlaces Externos Protegidos (LinkCard)"    , "Tarjeta visual para links con previsualización básica."                        , "To Do"      , "Medium", "Sprint 2"
Epic      , "EPIC 6: Gestion de Multimedia y Supabase Storage"         , "Manejo de activos digitales y almacenamiento en la nube."                      , "To Do"      , "High"  , "Sprint 2"
Story     , "[Storage] Repositorio de Documentación y Archivos"        , "Como admin, quiero subir PDFs y que el sistema genere una URL pública."        , "To Do"      , "High"  , "Sprint 2"
Task      , "Configurar Bucket 'telmark-media'"                        , "Permisos de almacenamiento y políticas de retención de archivos."              , "To Do"      , "High"  , "Sprint 2"
Task      , "Módulo de Subida (Drag & Drop) en Admin"                  , "Interfaz para subir archivos con barra de progreso."                           , "To Do"      , "High"  , "Sprint 2"
Task      , "Gestión de Nombres de Archivo Seguros"                    , "Sanitizar nombres para evitar inyecciones o caracteres prohibidos."            , "To Do"      , "Medium", "Sprint 2"
Epic      , "EPIC 7: Admin Panel (Centro de Control)"                  , "El cerebro administrativo de la aplicación."                                   , "To Do"      , "High"  , "Sprint 2"
Story     , "[Admin] Dashboard Administrativo Global"                  , "Como administrador, quiero un resumen de la estructura total."                 , "To Do"      , "High"  , "Sprint 2"
Task      , "Sidebar de Administración Colapsable"                     , "Panel lateral con acceso a Secciones, Media y Configuración."                  , "To Do"      , "Medium", "Sprint 2"
Task      , "Módulo: Gestión de Categorías (Organizador)"              , "Interfaz de lista para editar niveles de forma jerárquica."                    , "To Do"      , "High"  , "Sprint 2"
Story     , "[Forms] Editor de Items y Atributos Genéricos"            , "Como admin, quiero un formulario flexible para cualquier tipo de contenido."   , "To Do"      , "High"  , "Sprint 2"
Task      , "Implementar Formulario Maestro con Zod y Shadcn"          , "Validación en cliente de todos los campos según el content_type."              , "To Do"      , "High"  , "Sprint 2"
Task      , "Editor Dinámico de JSONB (Atributos Extra)"               , "Añadir campos 'nombre: valor' al vuelo sin tocar código."                      , "To Do"      , "Medium", "Sprint 2"
Task      , "Módulo de Previsualización en Tiempo Real"                , "Ver cómo queda el item antes de guardarlo en base de datos."                   , "To Do"      , "Low"   , "Sprint 2"
Epic      , "EPIC 8: SEO, Rendimiento y UX Extrema"                    , "Optimización de cara a Google y velocidad de carga."                           , "To Do"      , "Medium", "Sprint 3"
Story     , "[Perf] Optimización de Core Web Vitals"                   , "Como usuario, quiero que la web cargue en menos de 1 segundo."                 , "To Do"      , "Medium", "Sprint 3"
Task      , "Configurar Next/Image para Formatos Progresivos"          , "Generación automática de WebP y lazy loading real."                            , "To Do"      , "Medium", "Sprint 3"
Task      , "Caché Agresiva en Servidor (Revalidate)"                  , "Configurar tiempos de caché para datos que no cambian a menudo."               , "To Do"      , "Medium", "Sprint 3"
Story     , "[SEO] Metadatos y Accesibilidad"                          , "Como sistema, quiero ser indexado correctamente por buscadores."               , "To Do"      , "Low"   , "Sprint 3"
Task      , "Implementar Generador Dinámico de Metatags"               , "Títulos y descripciones SEO por cada nivel de la jerarquía."                   , "To Do"      , "Medium", "Sprint 3"
Task      , "Configurar OpenGraph para Redes Sociales"                 , "Cards visuales personalizadas para cada área del CMS."                         , "To Do"      , "Low"   , "Sprint 3"
Task      , "Auditoría WCAG (Accesibilidad AA)"                        , "Garantizar contraste y navegación por teclado en todo el sitio."               , "To Do"      , "Low"   , "Sprint 3"
Epic      , "EPIC 9: Calidad, Testing y Confiabilidad"                 , "Pruebas para asegurar que nada se rompa en producción."                        , "To Do"      , "Medium", "Sprint 3"
Story     , "[QA] Suite de Testing Automático"                         , "Como equipo, queremos dormir tranquilos tras un despliegue."                   , "To Do"      , "Medium", "Sprint 3"
Task      , "Unit Tests para Lógica de Slugs y JSONB"                  , "Verificar que los datos se parsean correctamente (Vitest)."                    , "To Do"      , "Medium", "Sprint 3"
Task      , "Integration Tests: Flujo de Guardado en Supabase"         , "Simular inserciones desde Server Actions."                                     , "To Do"      , "Medium", "Sprint 3"
Task      , "E2E: Playwright 'User Journey' de Navegación"             , "Prueba automática desde Home hasta descarga de PDF."                           , "To Do"      , "Low"   , "Sprint 3"
Epic      , "EPIC 10: DevOps, CI/CD y Entrega Final"                   , "Puesta en producción y ciclo de vida de la aplicación."                        , "To Do"      , "Medium", "Sprint 3"
Story     , "[DevOps] Pipeline de Despliegue Automático"               , "Como desarrollador, quiero que al hacer push el código se despliegue."         , "To Do"      , "Medium", "Sprint 3"
Task      , "Configurar GitHub Actions (Build/Lint Check)"             , "Detener el despliegue si hay errores de TypeScript o Lint."                    , "To Do"      , "Medium", "Sprint 3"
Task      , "Vincular Entornos Vercel (Staging/Production)"            , "Setup de ramas main y dev para pruebas antes de live."                         , "To Do"      , "Medium", "Sprint 3"
Task      , "Configurar Monitoreo de Errores con Sentry"               , "Alertas inmediatas en caso de fallos en el navegador del cliente."             , "To Do"      , "Low"   , "Sprint 3"
Story     , "[Handoff] Entrega de Proyecto y Cierre"                   , "Como cliente, quiero el código y el manual de uso final."                      , "To Do"      , "Medium", "Sprint 3"
Task      , "Manual de Usuario para Administradores"                   , "Documentar cómo crear y gestionar el contenido jerárquico."                    , "To Do"      , "Medium", "Sprint 3"
Task      , "Limpieza Final de Código e Imágenes"                      , "Eliminar activos no usados y refactorizar componentes grandes."                , "To Do"      , "Low"   , "Sprint 3"
